cuenta_id,anio,cantidad_movimientos,total_depositos,total_cargos,saldo_neto,primera_fecha,ultima_fecha,movimientos_con_anomalia
101,2024,40,28000.00,25100.00,2900.00,2024-01-07,2024-12-26,7
102,2024,48,17200.00,55200.00,-38000.00,2024-01-14,2024-12-28,3
103,2024,37,10100.00,61900.00,-51800.00,2024-01-17,2024-12-23,4
104,2024,50,15800.00,56500.00,-40700.00,2024-01-04,2024-11-17,5
105,2024,55,26100.00,53100.00,-27000.00,2024-01-04,2024-12-13,4
106,2024,56,25800.00,60800.00,-35000.00,2024-01-29,2024-12-16,6
107,2024,50,23300.00,58300.00,-35000.00,2024-01-02,2024-12-30,6
108,2024,48,13700.00,59600.00,-45900.00,2024-01-05,2024-12-22,5
109,2024,44,34500.00,43800.00,-9300.00,2024-01-21,2024-12-05,1
110,2024,45,15600.00,44400.00,-28800.00,2024-01-14,2024-12-24,3
111,2024,38,19600.00,49900.00,-30300.00,2024-01-18,2024-12-27,1
112,2024,43,26000.00,51400.00,-25400.00,2024-01-09,2024-12-27,3
113,2024,35,20100.00,37900.00,-17800.00,2024-01-11,2024-12-28,5
114,2024,49,17200.00,65000.00,-47800.00,2024-02-07,2024-12-29,5
115,2024,42,15600.00,38500.00,-22900.00,2024-01-05,2024-12-28,6
116,2024,53,37400.00,61200.00,-23800.00,2024-01-03,2024-12-24,5
117,2024,35,19200.00,42300.00,-23100.00,2024-01-11,2024-12-08,4
118,2024,49,30800.00,60300.00,-29500.00,2024-01-06,2024-12-28,6
119,2024,47,23600.00,56100.00,-32500.00,2024-01-29,2024-12-23,4
120,2024,36,17500.00,42200.00,-24700.00,2024-01-13,2024-12-28,1
